#代码	名称	总手	现手	金额	所属行业	市净率	总股本	总市值
002581	万昌科技	2.72万	264	4300万	 化工行业	3.07	1.41亿	22.0亿
300055	万邦达	1.74万	165	6202万	 公用事业	4.49	2.29亿	81.1亿
002590	万安科技	6174	55	915万	 交运设备	2.77	1.21亿	18.0亿
002180	万 力 达	----	----	----	 输配电气	3.12	1.25亿	11.6亿
000533	万 家 乐	13.2万	761	5948万	 家电行业	2.75	6.91亿	31.1亿
000002	万  科Ａ	59.0万	5295	4.03亿	 房地产	1.09	110亿	745亿
601801	皖新传媒	5.78万	84	7758万	 文化传媒	2.67	9.10亿	121亿
600063	皖维高新	----	----	----	 化工行业	1.34	15.0亿	31.0亿
002331	皖通科技	6.52万	574	7771万	 电子信息	3.38	2.14亿	25.6亿
600012	皖通高速	1.41万	20	561万	 高速公路	0.96	16.6亿	66.0亿
000543	皖能电力	4.20万	319	2911万	 电力行业	1.15	10.5亿	72.8亿
600270	外运发展	13.0万	185	1.70亿	 交运物流	2.24	9.05亿	120亿
600648	外高桥	5.47万	0	1.68亿	 房地产	5.70	10.1亿	306亿
002261	拓维信息	----	----	----	 通讯行业	9.24	2.83亿	77.6亿
002218	拓日新能	7.91万	910	7488万	 电子元件	3.20	4.90亿	46.0亿
300229	拓尔思	----	----	----	 电子信息	4.49	2.05亿	37.4亿
002139	拓邦股份	9.69万	585	1.14亿	 电子元件	5.09	2.18亿	25.6亿
002043	兔 宝 宝	5.21万	2238	2045万	 木业家具	2.43	4.70亿	18.5亿
000630	铜陵有色	4.82万	367	4292万	 有色金属	1.14	14.2亿	126亿
600237	铜峰电子	33.5万	1	2.24亿	 电子元件	2.49	5.64亿	37.7亿
002052	同洲电子	14.2万	1677	1.79亿	 通讯行业	6.44	6.83亿	86.1亿
300302	同有科技	4231	63	1456万	 电子信息	4.28	6000万	20.3亿
600085	同仁堂	5.73万	0	1.04亿	 医药行业	4.91	13.1亿	238亿
000885	同力水泥	1.61万	98	920万	 水泥建材	1.41	4.27亿	24.2亿
600846	同济科技	20.9万	1	1.72亿	 综合行业	3.55	6.25亿	51.3亿
300033	同花顺	2.03万	468	5007万	 电子信息	2.96	1.34亿	33.5亿
002049	同方国芯	2.57万	132	1.13亿	 电子元件	5.86	3.03亿	133亿
600100	同方股份	27.2万	0	2.96亿	 电子信息	2.13	22.0亿	237亿
002360	同德化工	4.54万	731	5113万	 化工行业	2.53	1.96亿	21.9亿
300321	同大股份	9678	205	2890万	 塑胶制品	2.61	4440万	13.3亿
600647	同达创业	2.24万	0	2634万	 综合行业	7.57	1.39亿	16.5亿
601233	桐昆股份	3.04万	20	1762万	 化纤行业	0.82	9.64亿	55.3亿
000591	桐 君 阁	2.00万	333	1743万	 医药行业	5.43	2.75亿	23.8亿
300164	通源石油	5.89万	1710	1.42亿	 石油行业	5.01	2.38亿	59.1亿
300185	通裕重工	11.2万	575	5100万	 机械行业	1.17	9.00亿	40.8亿
600438	通威股份	6.79万	0	6521万	 农牧饲渔	3.49	8.17亿	79.2亿
002150	通润装备	1.22万	68	842万	 机械行业	3.25	2.50亿	17.2亿
600365	通葡股份	1.07万	0	904万	 酿酒行业	2.51	2.00亿	16.9亿
000766	通化金马	5.81万	1111	3380万	 医药行业	4.21	4.49亿	25.9亿
600867	通化东宝	10.7万	0	1.43亿	 医药行业	6.18	9.31亿	123亿
300265	通光线缆	5.24万	779	1.00亿	 输配电气	3.37	1.35亿	25.6亿
002156	通富微电	11.6万	1150	8694万	 电子元件	2.16	6.50亿	48.4亿
002491	通鼎光电	3.57万	206	5712万	 通讯行业	2.35	2.75亿	43.6亿
002560	通达股份	6252	96	1093万	 输配电气	1.79	1.40亿	24.2亿
002576	通达动力	8.06万	3307	7748万	 输配电气	1.89	1.65亿	16.3亿
000419	通程控股	9.71万	418	5263万	 商业百货	1.69	5.44亿	29.5亿
002243	通产丽星	1.29万	214	881万	 塑胶制品	1.68	3.65亿	24.8亿
600763	通策医疗	2.40万	0	1.14亿	 医药行业	15.04	1.60亿	75.4亿
600780	通宝能源	----	----	----	 电力行业	1.58	11.5亿	59.7亿
600125	铁龙物流	7.56万	25	3997万	 交运物流	1.62	13.1亿	68.9亿
000809	铁岭新城	3.43万	364	4164万	 房地产	2.34	5.50亿	66.1亿
300197	铁汉生态	1.86万	161	4910万	 工程建设	4.93	3.16亿	82.7亿
300169	天晟新材	5.40万	277	4304万	 塑胶制品	2.56	2.81亿	22.2亿
300245	天玑科技	2.77万	1069	8033万	 电子信息	7.19	1.40亿	41.1亿
600620	天宸股份	18.3万	0	2.13亿	 交运物流	6.15	4.58亿	51.8亿
300148	天舟文化	5.34万	353	1.82亿	 文化传媒	9.52	1.52亿	51.1亿
300209	天泽信息	2.43万	538	4057万	 电子信息	3.19	1.60亿	26.8亿
300047	天源迪科	----	----	----	 电子信息	3.06	3.15亿	31.9亿
002386	天原集团	2.32万	305	1740万	 化工行业	0.90	4.80亿	35.7亿
300205	天喻信息	5.84万	1771	1.47亿	 电子元件	5.14	2.15亿	54.3亿
300342	天银机电	9628	81	2967万	 家电行业	4.22	1.00亿	30.7亿
000829	天音控股	61.8万	5285	6.67亿	 通讯行业	4.88	9.47亿	104亿
002459	天业通联	3.58万	309	2818万	 机械行业	2.55	2.22亿	17.3亿
600807	天业股份	2.29万	99	1790万	 房地产	4.89	3.21亿	24.8亿
600488	天药股份	3.27万	29	1419万	 医药行业	1.79	9.61亿	41.2亿
000710	天兴仪表	1.10万	126	984万	 仪器仪表	12.08	1.51亿	13.5亿
002238	天威视讯	2.76万	466	3741万	 文化传媒	2.82	3.20亿	43.2亿
600550	天威保变	18.5万	0	9213万	 输配电气	2.14	13.7亿	67.3亿
600330	天通股份	61.2万	0	7.11亿	 电子元件	6.01	5.89亿	69.5亿
600161	天坛生物	5.12万	0	1.00亿	 医药行业	5.29	5.15亿	100亿
002531	天顺风能	5.86万	490	8947万	 机械行业	3.31	4.12亿	62.0亿
600535	天士力	7.66万	0	3.28亿	 医药行业	12.09	10.3亿	442亿
300313	天山生物	6467	245	1212万	 农牧饲渔	4.29	9091万	17.0亿
000877	天山股份	10.8万	1282	6135万	 水泥建材	0.74	8.80亿	49.8亿
000813	天山纺织	1.64万	461	1105万	 纺织服装	3.28	4.67亿	31.6亿
600419	天润乳业	4666	10	823万	 造纸印刷	10.86	8639万	15.2亿
002283	天润曲轴	6.69万	608	4229万	 机械行业	1.16	5.59亿	35.4亿
002113	天润控股	----	----	----	 化工行业	13.27	1.18亿	12.3亿
300165	天瑞仪器	3.76万	250	1.02亿	 仪器仪表	2.87	1.54亿	41.4亿
002523	天桥起重	6.31万	396	3745万	 机械行业	1.82	3.33亿	19.7亿
002510	天汽模	7.58万	700	1.07亿	 汽车行业	1.94	2.06亿	28.7亿
002466	天齐锂业	2.72万	261	1.34亿	 化工行业	7.21	1.47亿	72.2亿
002009	天奇股份	3.52万	237	4337万	 机械行业	2.89	3.21亿	39.5亿
600671	天目药业	5752	50	799万	 医药行业	22.23	1.22亿	17.0亿
000627	天茂集团	9.98万	1119	2729万	 化工行业	2.49	13.5亿	36.7亿
002453	天马精化	3.46万	102	4188万	 化工行业	2.94	2.86亿	34.7亿
002122	天马股份	3.97万	843	1649万	 机械行业	1.04	11.9亿	49.1亿
000711	天伦置业	1.15万	50	705万	 房地产	2.73	1.61亿	9.91亿
300063	天龙集团	9644	227	1284万	 化工行业	2.07	1.00亿	13.3亿
300029	天龙光电	----	----	----	 电子元件	2.91	2.00亿	19.8亿
300156	天立环保	5.66万	848	5935万	 机械行业	1.93	2.89亿	30.1亿
600339	天利高新	16.5万	0	8380万	 石油行业	2.50	5.78亿	28.8亿
600378	天科股份	4.26万	10	5321万	 化工行业	5.79	2.97亿	37.0亿
002100	天康生物	4.92万	558	5475万	 农牧饲渔	2.93	4.34亿	48.1亿
600225	天津松江	39.3万	0	3.25亿	 房地产	5.59	6.26亿	51.4亿
002134	天津普林	1.87万	27	1223万	 电子元件	2.79	2.46亿	16.0亿
600751	天津海运	21.7万	30	1.50亿	 港口水运	52.42	8.93亿	60.9亿
600717	天津港	21.7万	0	1.95亿	 港口水运	1.20	16.7亿	149亿
600800	天津磁卡	24.6万	19	1.51亿	 电子信息	52.22	6.11亿	37.3亿
002419	天虹商场	7.03万	1907	8077万	 商业百货	2.18	8.00亿	94.3亿
300332	天壕节能	8.73万	602	1.19亿	 电力行业	3.51	3.20亿	42.9亿
002509	天广消防	3.84万	294	3923万	 机械行业	4.62	4.00亿	40.6亿
600509	天富热电	3.47万	5	2752万	 电力行业	1.68	9.06亿	72.0亿
600322	天房发展	7.92万	0	2460万	 房地产	0.77	11.1亿	34.2亿
600665	天地源	2.97万	0	924万	 房地产	1.16	8.64亿	26.8亿
600582	天地科技	9.67万	0	8707万	 机械行业	1.98	12.1亿	110亿
002709	天赐材料	10.9万	1345	4.00亿	 化工行业	5.58	1.20亿	43.8亿
600112	天成控股	7.61万	0	9654万	 输配电气	5.38	5.09亿	65.1亿
002220	天宝股份	5.86万	377	4103万	 食品行业	1.99	4.65亿	32.3亿
300362	天保重装	10.4万	3306	2.67亿	 机械行业	4.36	1.03亿	25.5亿
000965	天保基建	2.82万	179	1457万	 房地产	1.37	6.92亿	35.6亿
002124	天邦股份	2.81万	87	2278万	 农牧饲渔	3.70	2.06亿	16.5亿
600512	腾达建设	4.14万	0	1265万	 工程建设	1.89	7.37亿	22.4亿
300178	腾邦国际	4.30万	879	1.65亿	 旅游酒店	4.34	1.22亿	47.7亿
300001	特锐德	9568	93	2387万	 输配电气	4.00	2.00亿	50.1亿
000070	特发信息	2.11万	74	2221万	 通讯行业	2.79	2.71亿	28.2亿
600089	特变电工	40.9万	110	4.00亿	 输配电气	1.71	31.7亿	307亿
002213	特 尔 佳	1.63万	1103	2173万	 汽车行业	8.14	2.06亿	27.5亿
000025	特  力Ａ	8429	51	746万	 汽车行业	9.47	2.20亿	19.4亿
601000	唐山港	6.79万	200	2016万	 港口水运	1.04	20.3亿	59.9亿
002567	唐人神	4.20万	563	3256万	 农牧饲渔	1.91	4.21亿	32.4亿
300146	汤臣倍健	----	----	----	 食品行业	11.21	3.28亿	250亿
300005	探路者	5.60万	790	1.33亿	 纺织服装	11.09	4.24亿	102亿
600169	太原重工	25.1万	48	7436万	 机械行业	1.34	24.2亿	71.3亿
000795	太原刚玉	6.37万	660	5205万	 材料行业	7.10	2.77亿	22.3亿
002078	太阳纸业	13.7万	640	9719万	 造纸印刷	1.59	11.5亿	80.8亿
300123	太阳鸟	1.02万	275	1858万	 交运设备	2.84	1.41亿	25.7亿
002300	太阳电缆	2.35万	155	2014万	 输配电气	2.30	3.02亿	25.6亿
601099	太平洋	50.2万	49	3.69亿	 券商信托	5.51	16.5亿	121亿
600222	太龙药业	4.00万	0	2616万	 医药行业	3.12	4.97亿	32.1亿
300344	太空板业	2.93万	435	2888万	 材料行业	2.20	1.61亿	15.8亿
600667	太极实业	23.4万	5	1.15亿	 电子元件	3.75	11.9亿	58.4亿
600129	太极集团	3.07万	0	2729万	 医药行业	3.92	4.27亿	37.6亿
002368	太极股份	5.70万	616	2.15亿	 电子信息	5.74	2.74亿	101亿
600281	太化股份	2.06万	22	859万	 化工行业	2.73	5.14亿	21.4亿
000825	太钢不锈	6.71万	1908	1614万	 钢铁行业	0.56	57.0亿	136亿
002433	太安堂	8.86万	678	2.04亿	 医药行业	3.23	2.78亿	63.7亿
002517	泰亚股份	----	----	----	 纺织服装	1.98	1.77亿	12.7亿
300129	泰胜风能	7.46万	340	1.07亿	 输配电气	3.12	3.24亿	46.0亿
000554	泰山石油	77.2万	1.45万	6.69亿	 石油行业	4.54	4.81亿	41.2亿
002254	泰和新材	4.00万	510	3181万	 化纤行业	2.43	5.09亿	40.2亿
000732	泰禾集团	1.66万	220	1452万	 房地产	2.91	10.2亿	88.5亿
600590	泰豪科技	12.7万	200	9489万	 输配电气	1.74	5.00亿	37.4亿
300347	泰格医药	----	----	----	 医药行业	9.86	1.07亿	70.5亿
002347	泰尔重工	7.67万	1001	6079万	 机械行业	1.60	1.87亿	14.9亿
000652	泰达股份	11.9万	898	5324万	 综合行业	3.40	14.8亿	65.4亿
300046	台基股份	3.05万	299	4041万	 电子元件	2.27	1.42亿	18.8亿
002233	塔牌集团	3.01万	448	1781万	 水泥建材	1.49	8.95亿	53.0亿
000662	索芙特	4.68万	173	3322万	 化工行业	3.42	2.88亿	20.4亿
002572	索菲亚	1.07万	62	1757万	 木业家具	4.38	4.41亿	71.6亿
600820	隧道股份	18.2万	10	1.73亿	 工程建设	1.01	13.0亿	122亿
000531	穗恒运Ａ	9989	9	1083万	 电力行业	1.49	3.43亿	37.1亿
002079	苏州固锝	17.2万	1381	1.20亿	 电子元件	4.06	7.28亿	50.1亿
600736	苏州高新	4.37万	50	1637万	 房地产	1.20	10.6亿	39.6亿
002024	苏宁云商	142万	1.57万	13.4亿	 商业百货	2.42	73.8亿	695亿
000718	苏宁环球	9.15万	2417	4139万	 房地产	2.05	20.4亿	91.1亿
300284	苏交科	----	----	----	 工程建设	3.11	2.40亿	46.1亿
300331	苏大维格	9054	371	3378万	 材料行业	4.94	6200万	22.9亿
000570	苏常柴Ａ	7.55万	1725	7171万	 机械行业	2.96	5.61亿	53.2亿
002032	苏 泊 尔	2.09万	427	3003万	 家电行业	2.85	6.34亿	92.7亿
002503	搜于特	12.2万	2717	1.55亿	 纺织服装	2.65	4.32亿	54.0亿
600077	宋都股份	4.17万	10	1651万	 房地产	1.67	10.9亿	43.4亿
300144	宋城股份	3.14万	221	7256万	 旅游酒店	4.10	5.58亿	128亿
002454	松芝股份	17.6万	2153	2.59亿	 汽车行业	2.20	3.12亿	45.2亿
600715	松辽汽车	2.39万	0	1559万	 汽车行业	44.71	2.24亿	14.6亿
300173	松德股份	9501	321	998万	 机械行业	2.07	1.13亿	12.0亿
002405	四维图新	----	----	----	 电子信息	4.52	6.92亿	107亿
000605	四环药业	6034	58	1041万	 医药行业	6.06	1.23亿	21.2亿
000518	四环生物	19.6万	2507	6653万	 医药行业	4.64	10.3亿	34.7亿
000611	四海股份	2.78万	208	1275万	 纺织服装	2.49	3.22亿	14.7亿
601126	四方股份	2.14万	0	4064万	 输配电气	2.56	4.07亿	76.9亿
300179	四方达	2.43万	159	2004万	 材料行业	2.60	2.16亿	17.7亿
600990	四创电子	1.32万	0	3838万	 电子元件	4.91	1.37亿	39.4亿
000935	四川双马	2.43万	394	1294万	 水泥建材	1.69	6.16亿	32.9亿
000835	四川圣达	4.24万	156	2556万	 煤炭采选	4.26	3.05亿	18.2亿
000731	四川美丰	8.29万	1373	7523万	 化工行业	1.81	5.91亿	53.1亿
600039	四川路桥	6.90万	0	4009万	 工程建设	1.37	15.1亿	87.1亿
000801	四川九洲	11.6万	342	1.71亿	 家电行业	4.88	4.60亿	67.6亿
600678	四川金顶	3.47万	0	1830万	 水泥建材	31.08	3.49亿	18.6亿
601107	四川成渝	4.14万	30	1176万	 高速公路	0.81	30.6亿	86.8亿
600839	四川长虹	75.7万	34	2.66亿	 家电行业	1.17	46.2亿	161亿
002538	司尔特	1.49万	10	1398万	 化工行业	1.66	2.96亿	27.5亿
002028	思源电气	6.79万	430	1.17亿	 输配电气	2.45	4.40亿	74.7亿
002712	思美传媒	2.56万	193	1.37亿	 文化传媒	6.07	8532万	44.9亿
300382	斯莱克	2.02万	285	1.34亿	 机械行业	7.13	5324万	35.7亿
300322	硕贝德	1.72万	221	4916万	 通讯行业	6.30	1.12亿	32.2亿
002608	舜天船舶	8.92万	657	1.49亿	 交运设备	1.76	2.21亿	37.3亿
000860	顺鑫农业	5.92万	272	8962万	 酿酒行业	2.16	4.39亿	66.2亿
002676	顺威股份	1.95万	131	2622万	 塑胶制品	2.08	1.60亿	21.5亿
300113	顺网科技	1.44万	117	8278万	 电子信息	8.61	1.32亿	75.6亿
002555	顺荣股份	2.21万	249	9093万	 汽车行业	7.49	1.34亿	55.2亿
002138	顺络电子	3.67万	372	6349万	 电子元件	4.14	3.28亿	57.1亿
000631	顺发恒业	1.87万	129	780万	 房地产	1.76	10.5亿	43.3亿
600779	水井坊	7.07万	0	6027万	 酿酒行业	2.31	4.89亿	41.8亿
002273	水晶光电	15.7万	1705	2.89亿	 电子元件	6.25	3.75亿	69.0亿
002038	双鹭药业	4.56万	449	1.90亿	 医药行业	7.82	4.57亿	188亿
002585	双星新材	2.12万	230	2569万	 塑胶制品	1.36	4.16亿	50.0亿
002395	双象股份	2.22万	610	2046万	 塑胶制品	2.07	1.79亿	16.4亿
002481	双塔食品	4.71万	515	6947万	 食品行业	6.49	4.32亿	63.1亿
600623	双钱股份	1.42万	8	1386万	 汽车行业	3.26	8.89亿	85.8亿
300108	双龙股份	6.45万	688	1.03亿	 化工行业	5.40	1.35亿	21.5亿
300100	双林股份	2.62万	183	2088万	 汽车行业	2.30	2.81亿	22.2亿
600481	双良节能	5.71万	0	6820万	 化工行业	3.89	8.10亿	97.1亿
002381	双箭股份	9.30万	972	1.29亿	 塑胶制品	2.98	2.34亿	32.0亿
000895	双汇发展	3.07万	160	1.29亿	 食品行业	6.46	22.0亿	927亿
000707	双环科技	3.71万	348	1393万	 化工行业	0.95	4.64亿	17.4亿
002472	双环传动	2.35万	624	2179万	 机械行业	1.79	2.88亿	26.4亿
002693	双成药业	1.66万	356	2689万	 医药行业	3.40	1.80亿	28.8亿
300075	数字政通	1.26万	29	5768万	 电子信息	6.05	1.26亿	58.7亿
000909	数源科技	4.30万	564	3240万	 家电行业	3.35	2.94亿	22.3亿
300079	数码视讯	10.8万	2051	2.39亿	 通讯行业	2.87	3.39亿	76.3亿
600303	曙光股份	14.9万	1685	6555万	 汽车行业	1.10	5.75亿	25.2亿
300204	舒泰神	1.61万	165	3992万	 医药行业	4.57	2.40亿	59.5亿
600723	首商股份	23.6万	0	1.60亿	 商业百货	1.57	6.58亿	43.9亿
600258	首旅酒店	----	----	----	 旅游酒店	3.54	2.31亿	36.7亿
600376	首开股份	12.2万	50	4989万	 房地产	0.69	22.4亿	91.7亿
002665	首航节能	----	----	----	 机械行业	4.13	2.67亿	71.4亿
000959	首钢股份	7.92万	610	1675万	 钢铁行业	0.90	29.7亿	62.3亿
600008	首创股份	16.5万	0	1.18亿	 公用事业	2.79	22.0亿	155亿
600604	市北高新	3.74万	0	3640万	 机械行业	4.46	5.66亿	54.4亿
002016	世荣兆业	2.39万	147	1473万	 房地产	2.68	6.46亿	39.7亿
600823	世茂股份	3.97万	0	3243万	 房地产	0.70	11.7亿	94.9亿
002285	世联行	4.70万	241	7660万	 房地产	4.29	4.24亿	68.4亿
002558	世纪游轮	2838	32	740万	 旅游酒店	2.55	5950万	15.4亿
000005	世纪星源	3.28万	289	783万	 房地产	3.33	9.14亿	21.8亿
300150	世纪瑞尔	3.01万	107	3668万	 电子信息	2.47	2.70亿	32.9亿
002602	世纪华通	15.5万	3614	3.84亿	 塑胶制品	3.91	2.63亿	63.3亿
300050	世纪鼎利	2.11万	115	3273万	 通讯行业	2.39	2.16亿	33.8亿
600460	士兰微	16.4万	40	1.32亿	 电子元件	3.39	9.59亿	75.7亿
002588	史丹利	1.33万	109	4462万	 化工行业	2.82	2.20亿	73.4亿
600734	实达集团	9.07万	0	3934万	 房地产	11.82	3.52亿	15.2亿
002137	实 益 达	5.21万	264	2363万	 电子元件	3.47	4.58亿	20.8亿
600458	时代新材	7.51万	0	6959万	 材料行业	2.01	6.61亿	61.4亿
600241	时代万恒	1.97万	0	1312万	 国际贸易	2.64	1.80亿	11.9亿
600551	时代出版	10.3万	0	1.85亿	 文化传媒	2.73	5.06亿	89.6亿
600462	石岘纸业	2.75万	6	1242万	 造纸印刷	5.66	5.34亿	24.0亿
002691	石中装备	3.36万	318	3599万	 机械行业	2.75	2.00亿	21.3亿
603688	石英股份	----	----	----	 材料行业	----	0	0
002153	石基信息	1.02万	82	5741万	 电子信息	12.03	3.09亿	172亿
002580	圣阳股份	2.62万	125	4583万	 输配电气	2.32	1.09亿	19.0亿
002299	圣农发展	8.90万	1873	7085万	 农牧饲渔	2.38	9.11亿	74.0亿
002473	圣莱达	2.08万	305	5823万	 家电行业	10.44	1.60亿	44.7亿
002426	胜利精密	2.50万	114	4261万	 材料行业	5.03	4.00亿	68.6亿
000407	胜利股份	----	----	----	 化工行业	2.96	6.49亿	35.3亿
300090	盛运股份	7.32万	304	2.05亿	 机械行业	4.85	2.94亿	82.8亿
600711	盛屯矿业	1.56万	40	1327万	 有色金属	1.61	4.53亿	38.4亿
002599	盛通股份	6.49万	867	1.02亿	 造纸印刷	3.66	1.32亿	21.2亿
002446	盛路通信	9.64万	919	2.13亿	 通讯行业	4.49	1.33亿	29.5亿
600392	盛和资源	----	----	----	 有色金属	8.13	3.76亿	81.5亿
000603	盛达矿业	3.34万	164	4246万	 有色金属	16.38	5.05亿	64.3亿
002400	省广股份	1.93万	90	7336万	 文化传媒	10.57	3.85亿	146亿
600226	升华拜克	3.38万	35	2035万	 化工行业	1.78	4.06亿	24.2亿
002259	升达林业	7.14万	521	4023万	 木业家具	4.34	6.43亿	36.1亿
600183	生益科技	12.7万	0	6976万	 电子元件	1.80	14.2亿	77.3亿
002095	生 意 宝	4.50万	817	1.48亿	 电子信息	11.00	1.62亿	53.5亿
000410	沈阳机床	13.0万	1214	9356万	 机械行业	2.06	7.65亿	55.0亿
000698	沈阳化工	3.56万	579	1398万	 石油行业	0.88	6.61亿	25.9亿
300002	神州泰岳	6.76万	383	2.15亿	 电子信息	5.64	6.13亿	192亿
600613	神奇制药	1.17万	5	1984万	 医药行业	4.32	4.45亿	74.8亿
300189	神农大丰	5.09万	1236	5783万	 农牧饲渔	2.18	2.56亿	29.3亿
600810	神马股份	5.84万	28	3309万	 化纤行业	1.12	4.42亿	25.3亿
002278	神开股份	7.40万	374	9250万	 机械行业	3.07	2.88亿	35.8亿
002361	神剑股份	15.9万	1410	1.10亿	 材料行业	3.54	3.20亿	22.0亿
000933	神火股份	15.2万	1542	6009万	 煤炭采选	0.99	19.0亿	75.1亿
601139	深圳燃气	4.71万	20	3414万	 公用事业	3.15	19.8亿	143亿
000027	深圳能源	15.7万	1342	8805万	 公用事业	0.93	26.4亿	149亿
000089	深圳机场	2.46万	310	991万	 民航机场	0.88	16.9亿	67.9亿
002168	深圳惠程	37.9万	2553	3.41亿	 输配电气	6.05	7.57亿	67.7亿
000062	深圳华强	7.30万	1035	8991万	 电子元件	5.19	6.67亿	83.0亿
000006	深振业Ａ	6.66万	743	2882万	 房地产	1.54	13.5亿	58.0亿
000034	深信泰丰	2.85万	142	1217万	 通讯行业	15.98	3.58亿	15.2亿
000011	深物业A	1.59万	341	1101万	 房地产	2.21	5.96亿	41.1亿
000050	深天马Ａ	18.2万	5024	2.48亿	 电子元件	5.18	5.74亿	77.0亿
000023	深天地Ａ	5894	39	521万	 水泥建材	3.51	1.39亿	12.2亿
000029	深深房Ａ	2.26万	138	799万	 房地产	2.15	10.1亿	35.5亿
000019	深深宝Ａ	1.58万	360	1260万	 食品行业	2.06	2.51亿	19.9亿
000032	深桑达Ａ	3.66万	173	3576万	 通讯行业	2.52	2.33亿	22.4亿
000037	深南电Ａ	----	----	----	 电力行业	1.84	6.03亿	24.8亿
000016	深康佳Ａ	14.5万	3270	6797万	 家电行业	1.38	12.0亿	56.1亿
000010	深华新	6.24万	310	4776万	 机械行业	7.13	5.88亿	44.6亿
000020	深华发Ａ	9553	318	645万	 电子元件	6.78	2.83亿	19.1亿
600548	深高速	1.41万	0	501万	 高速公路	0.79	21.8亿	77.9亿
000045	深纺织Ａ	----	----	----	 纺织服装	1.89	5.07亿	42.8亿
000038	深大通	6174	253	814万	 房地产	8.41	9623万	12.8亿
000022	深赤湾Ａ	2.03万	174	2995万	 港口水运	2.44	6.45亿	94.9亿
000090	深 天 健	15.2万	876	1.05亿	 工程建设	1.17	5.53亿	38.7亿
000058	深 赛 格	6.13万	789	3063万	 电子元件	3.12	7.85亿	39.1亿
000042	深 长 城	2408	26	534万	 房地产	1.82	2.39亿	52.7亿
600834	申通地铁	2.66万	5	1902万	 交运物流	2.67	4.77亿	33.9亿
600642	申能股份	30.2万	231	1.37亿	 电力行业	0.99	45.5亿	204亿
002633	申科股份	----	----	----	 机械行业	2.52	1.50亿	13.9亿
600653	申华控股	10.0万	25	2645万	 综合行业	2.55	17.5亿	46.3亿
600626	申达股份	12.3万	5	1.34亿	 国际贸易	3.70	7.10亿	77.1亿
000601	韶能股份	11.7万	990	5491万	 电力行业	1.29	10.8亿	50.1亿
002551	尚荣医疗	1.77万	149	7823万	 医药行业	9.76	2.77亿	121亿
600748	上实发展	7.46万	10	5394万	 房地产	1.51	10.8亿	77.2亿
600104	上汽集团	23.3万	0	3.02亿	 汽车行业	1.07	110亿	1418亿
601607	上海医药	10.9万	0	1.59亿	 医药行业	1.53	26.9亿	389亿
300236	上海新阳	4522	90	1561万	 材料行业	5.11	1.14亿	39.5亿
600732	上海新梅	----	----	----	 房地产	4.44	4.46亿	23.4亿
600822	上海物贸	5.08万	0	5314万	 国际贸易	5.40	4.96亿	51.5亿
600688	上海石化	170万	79	6.62亿	 石油行业	2.48	108亿	417亿
600689	上海三毛	9.36万	5	7182万	 纺织服装	4.43	2.01亿	15.7亿
600680	上海普天	7.32万	5	1.27亿	 通讯行业	4.99	3.82亿	67.5亿
600508	上海能源	2.41万	0	2069万	 煤炭采选	0.78	7.23亿	62.2亿
600073	上海梅林	10.3万	2	8624万	 食品行业	3.54	8.23亿	68.2亿
002565	上海绿新	2.99万	80	6903万	 造纸印刷	4.49	3.48亿	79.7亿
002252	上海莱士	4017	78	1921万	 医药行业	9.53	5.83亿	279亿
600608	上海科技	5.66万	37	4228万	 材料行业	-144.03	3.29亿	24.2亿
300039	上海凯宝	4.54万	400	7970万	 医药行业	5.75	5.26亿	92.3亿
600838	上海九百	19.6万	38	1.60亿	 商业百货	4.67	4.01亿	32.6亿
600170	上海建工	18.3万	10	1.12亿	 工程建设	1.34	27.8亿	167亿
600315	上海家化	7.82万	0	2.54亿	 化工行业	7.00	6.72亿	221亿
300008	上海佳豪	5.80万	613	8413万	 交运设备	6.09	2.18亿	31.6亿
600835	上海机电	8.67万	0	1.70亿	 机械行业	3.60	10.2亿	198亿
600009	上海机场	5.13万	0	6682万	 民航机场	1.52	19.3亿	251亿
300226	上海钢联	3.68万	8	2.48亿	 电子信息	22.21	1.20亿	83.2亿
600781	上海辅仁	1.46万	23	1970万	 医药行业	8.86	1.78亿	24.0亿
601727	上海电气	5.08万	111	1903万	 输配电气	1.50	128亿	477亿
600021	上海电力	40.2万	0	2.01亿	 电力行业	1.35	21.4亿	105亿
600171	上海贝岭	6.98万	0	7079万	 电子元件	3.89	6.74亿	67.9亿
600843	上工申贝	7.85万	0	8544万	 机械行业	6.19	4.49亿	48.3亿
600018	上港集团	23.8万	52	1.12亿	 港口水运	2.20	228亿	1067亿
000967	上风高科	1.45万	576	1063万	 材料行业	2.30	2.46亿	18.1亿
000672	上峰水泥	1.01万	103	476万	 水泥建材	3.01	8.14亿	38.2亿
600841	上柴股份	2.48万	0	2903万	 机械行业	3.15	8.67亿	101亿
600306	商业城	2.51万	101	1957万	 商业百货	4.23	1.78亿	13.9亿
601225	陕西煤业	67.3万	33	2.95亿	 煤炭采选	1.28	100亿	437亿
000812	陕西金叶	7.58万	1734	3908万	 造纸印刷	2.89	4.47亿	22.8亿
002267	陕天然气	2.52万	168	2384万	 石油行业	3.13	10.2亿	95.3亿
000563	陕国投Ａ	4.94万	527	3518万	 券商信托	2.51	12.1亿	86.0亿
601369	陕鼓动力	4.83万	0	3403万	 机械行业	1.88	16.4亿	115亿
