#代码	名称	总手	现手	金额	所属行业	市净率	总股本	总市值
000657	中钨高新	8404	53	891万	 有色金属	1.70	6.29亿	66.3亿
600373	中文传媒	4.44万	0	1.01亿	 文化传媒	2.72	6.59亿	150亿
300270	中威电子	1.98万	516	3627万	 通讯行业	4.47	1.20亿	21.7亿
000957	中通客车	8.75万	1768	1.23亿	 汽车行业	4.22	2.39亿	32.8亿
600528	中铁二局	9.69万	24	4574万	 工程建设	1.19	14.6亿	69.0亿
600522	中天科技	26.5万	0	3.53亿	 通讯行业	1.88	7.05亿	94.1亿
000540	中天城投	7.56万	450	3788万	 房地产	2.15	12.9亿	64.2亿
600158	中体产业	30.9万	0	2.73亿	 房地产	5.43	8.44亿	73.5亿
002659	中泰桥梁	3.13万	522	1598万	 工程建设	2.43	3.11亿	15.9亿
002092	中泰化学	10.5万	709	5475万	 化工行业	0.84	13.9亿	71.6亿
002511	中顺洁柔	2.24万	469	2557万	 造纸印刷	1.56	3.12亿	35.4亿
000798	中水渔业	1.87万	1125	1153万	 农牧饲渔	2.73	3.19亿	19.8亿
600088	中视传媒	3.28万	0	5240万	 文化传媒	4.86	3.31亿	52.8亿
000685	中山公用	3.96万	985	4477万	 公用事业	1.37	7.79亿	87.1亿
000758	中色股份	6.38万	416	6540万	 有色金属	2.39	9.85亿	101亿
000506	中润资源	5.76万	539	2432万	 房地产	2.29	9.29亿	39.0亿
300078	中瑞思创	1.91万	138	5044万	 电子信息	3.80	1.68亿	43.5亿
600138	中青旅	4.98万	0	9501万	 旅游酒店	2.62	4.15亿	79.0亿
300052	中青宝	----	----	----	 电子信息	8.12	2.60亿	76.8亿
600084	中葡股份	2.21万	252	878万	 酿酒行业	3.83	8.10亿	32.2亿
300062	中能电气	2.43万	819	2539万	 输配电气	2.15	1.55亿	15.9亿
002445	中南重工	----	----	----	 机械行业	2.45	2.52亿	23.7亿
000961	中南建设	6.83万	1106	4628万	 房地产	1.13	11.7亿	78.8亿
601098	中南传媒	23.0万	0	3.31亿	 文化传媒	2.95	18.0亿	260亿
600195	中牧股份	2.39万	10	3373万	 医药行业	2.34	4.30亿	60.4亿
601898	中煤能源	9.36万	5	4008万	 煤炭采选	0.65	133亿	566亿
600818	中路股份	2.04万	130	2817万	 交运设备	11.48	3.21亿	44.6亿
600737	中粮屯河	5.27万	8	2671万	 食品行业	1.80	20.5亿	103亿
000930	中粮生化	5.12万	744	1963万	 农牧饲渔	1.28	9.64亿	36.8亿
000031	中粮地产	3.55万	689	1155万	 房地产	1.23	18.1亿	58.8亿
000157	中联重科	24.2万	1040	1.22亿	 机械行业	0.93	77.1亿	385亿
002323	中联电气	5340	141	804万	 输配电气	1.87	1.08亿	16.0亿
002309	中利科技	10.8万	701	1.95亿	 输配电气	3.73	4.81亿	86.1亿
600110	中科英华	11.5万	110	6205万	 材料行业	3.06	11.5亿	61.7亿
000970	中科三环	24.2万	2752	3.57亿	 电子元件	4.47	10.7亿	154亿
002657	中科金财	3.43万	427	1.04亿	 电子信息	4.68	1.05亿	31.8亿
300035	中科电气	4.07万	293	4808万	 机械行业	2.56	1.80亿	21.2亿
600872	中炬高新	11.8万	40	1.19亿	 综合行业	3.84	7.97亿	78.9亿
002579	中京电子	32.0万	7239	4.18亿	 电子元件	5.03	2.34亿	30.6亿
000060	中金岭南	9.12万	693	5401万	 有色金属	2.21	20.6亿	121亿
600489	中金黄金	29.5万	2	2.49亿	 有色金属	2.41	29.4亿	247亿
002021	中捷股份	----	----	----	 机械行业	3.56	5.68亿	34.8亿
600053	中江地产	----	----	----	 房地产	3.38	4.34亿	26.8亿
300308	中际装备	1.11万	196	1689万	 机械行业	3.43	1.20亿	18.3亿
000039	中集集团	6.03万	577	9063万	 交运物流	1.98	26.6亿	399亿
002129	中环股份	7.61万	449	1.29亿	 电子元件	4.29	8.79亿	149亿
002542	中化岩土	----	----	----	 工程建设	3.07	2.00亿	25.4亿
600500	中化国际	8.43万	0	6411万	 化工行业	1.47	20.8亿	155亿
600675	中华企业	18.5万	0	1.20亿	 房地产	1.79	15.6亿	100亿
000979	中弘股份	15.7万	2744	5329万	 房地产	2.66	19.2亿	64.8亿
600252	中恒集团	10.0万	0	1.29亿	 医药行业	4.06	10.9亿	141亿
002364	中恒电气	4.67万	527	7688万	 输配电气	5.05	2.54亿	41.5亿
002145	中核钛白	3.40万	567	2623万	 化工行业	2.76	4.10亿	31.7亿
000777	中核科技	4.72万	340	8517万	 机械行业	3.79	2.13亿	38.1亿
600765	中航重机	41.4万	8	5.63亿	 航天航空	3.21	7.78亿	106亿
600705	中航投资	12.0万	15	2.01亿	 券商信托	4.44	15.2亿	253亿
002163	中航三鑫	8.97万	288	3190万	 玻璃陶瓷	2.58	8.04亿	28.4亿
002013	中航机电	5.88万	251	9919万	 汽车行业	2.88	7.16亿	120亿
002179	中航光电	6.62万	483	1.16亿	 电子元件	3.25	4.63亿	81.1亿
000768	中航飞机	19.2万	1259	1.75亿	 航天航空	2.13	26.5亿	241亿
000738	中航动控	6.89万	578	9057万	 交运设备	3.46	11.5亿	150亿
600372	中航电子	14.2万	0	3.29亿	 航天航空	8.75	17.6亿	403亿
300114	中航电测	2.39万	361	4528万	 电子元件	3.61	1.56亿	29.3亿
000043	中航地产	5.63万	188	3060万	 房地产	1.11	6.67亿	36.1亿
601808	中海油服	8.32万	0	1.62亿	 石油行业	2.40	47.7亿	916亿
002401	中海科技	7.33万	1040	1.11亿	 电子信息	4.91	2.02亿	30.4亿
601866	中海集运	10.1万	29	2227万	 港口水运	1.04	117亿	256亿
600896	中海海盛	4.33万	518	1639万	 港口水运	1.38	5.81亿	22.3亿
600026	中海发展	9.06万	15	3724万	 港口水运	0.63	34.0亿	140亿
300177	中海达	1.94万	50	5948万	 通讯行业	6.92	2.02亿	61.2亿
000951	中国重汽	3.75万	213	4347万	 汽车行业	1.21	4.19亿	48.2亿
601989	中国重工	64.7万	0	3.39亿	 交运设备	1.65	175亿	908亿
601618	中国中冶	12.4万	9	2016万	 工程建设	0.72	191亿	311亿
601390	中国中铁	17.5万	70	4181万	 工程建设	0.60	213亿	507亿
000996	中国中期	4.44万	412	7169万	 交运物流	6.60	2.30亿	36.7亿
601988	中国银行	32.3万	0	8019万	 银行	0.78	2794亿	6956亿
600056	中国医药	6.42万	30	1.48亿	 医药行业	3.20	4.57亿	105亿
601106	中国一重	26.0万	100	5154万	 机械行业	0.80	65.4亿	129亿
601179	中国西电	39.5万	0	1.46亿	 输配电气	1.06	51.3亿	186亿
000797	中国武夷	3.52万	668	2307万	 房地产	1.95	3.89亿	25.4亿
600118	中国卫星	13.0万	3	2.46亿	 航天航空	5.62	11.8亿	223亿
601186	中国铁建	21.0万	80	8406万	 工程建设	0.63	123亿	492亿
601601	中国太保	18.4万	7	2.91亿	 保险	1.41	90.6亿	1425亿
601857	中国石油	15.6万	0	1.19亿	 石油行业	1.26	1830亿	1.39万亿
600028	中国石化	124万	1208	6.48亿	 石油行业	1.07	1166亿	5945亿
601088	中国神华	13.1万	0	1.78亿	 煤炭采选	1.01	199亿	2697亿
600536	中国软件	6.65万	0	2.83亿	 电子信息	5.64	2.47亿	104亿
601628	中国人寿	12.4万	70	1.72亿	 保险	1.64	283亿	3872亿
601965	中国汽研	3.23万	0	5116万	 汽车行业	3.34	6.41亿	102亿
601318	中国平安	22.9万	13	8.68亿	 保险	1.45	79.2亿	2981亿
601766	中国南车	36.4万	0	1.53亿	 交运设备	1.68	138亿	577亿
601600	中国铝业	47.4万	533	1.60亿	 有色金属	1.08	135亿	450亿
600050	中国联通	100万	0	3.25亿	 通讯行业	0.91	212亿	685亿
601800	中国交建	10.5万	0	3923万	 工程建设	0.65	162亿	598亿
601668	中国建筑	67.4万	0	1.89亿	 工程建设	0.75	300亿	837亿
600877	中国嘉陵	13.5万	51	5186万	 交运设备	10.32	6.87亿	26.3亿
601117	中国化学	34.5万	232	2.04亿	 工程建设	1.43	49.3亿	289亿
002116	中国海诚	3.20万	367	5090万	 工程建设	4.83	2.05亿	32.5亿
600007	中国国贸	5617	42	556万	 房地产	2.03	10.1亿	98.9亿
601888	中国国旅	4.88万	0	1.81亿	 旅游酒店	4.06	9.76亿	362亿
601111	中国国航	7.49万	0	2747万	 民航机场	0.88	131亿	478亿
600730	中国高科	----	----	----	 综合行业	3.62	2.93亿	27.9亿
000902	中国服装	1.91万	73	1937万	 化工行业	15.76	2.58亿	26.2亿
601669	中国电建	28.6万	1350	7786万	 工程建设	0.79	96.0亿	261亿
600150	中国船舶	7.26万	12	1.57亿	 交运设备	1.72	13.8亿	298亿
600176	中国玻纤	9.14万	10	6864万	 玻璃陶瓷	1.81	8.73亿	64.7亿
601299	中国北车	39.3万	28	1.73亿	 交运设备	1.24	103亿	448亿
000009	中国宝安	47.0万	6741	5.38亿	 房地产	4.31	12.5亿	142亿
002051	中工国际	1.92万	401	3532万	 工程建设	2.57	6.37亿	117亿
002057	中钢天源	2.34万	299	3894万	 综合行业	3.42	9969万	16.2亿
000928	中钢吉炭	11.3万	734	1.06亿	 材料行业	5.42	2.83亿	26.6亿
000592	中福实业	22.3万	2943	1.61亿	 木业家具	5.94	8.47亿	62.2亿
600061	中纺投资	8.20万	60	5282万	 化纤行业	4.56	4.29亿	27.2亿
600890	中房股份	----	----	----	 房地产	15.69	5.79亿	47.4亿
000736	中房地产	1.74万	30	1121万	 房地产	1.18	2.97亿	19.0亿
600520	中发科技	4.05万	0	4097万	 机械行业	5.14	1.13亿	11.3亿
000887	中鼎股份	10.0万	552	8536万	 汽车行业	4.19	10.8亿	90.8亿
600292	中电远达	5.45万	0	1.21亿	 公用事业	3.99	5.12亿	111亿
300172	中电环保	2.56万	342	6394万	 机械行业	3.85	1.30亿	32.2亿
600764	中电广通	3.39万	1	2803万	 电子信息	4.43	3.30亿	27.3亿
600485	中创信测	2.75万	0	5474万	 通讯行业	6.10	1.39亿	27.4亿
600787	中储股份	36.8万	0	4.54亿	 交运物流	2.02	9.30亿	113亿
000151	中成股份	1.46万	39	1102万	 国际贸易	2.37	2.96亿	22.3亿
002471	中超电缆	5.00万	518	4392万	 输配电气	2.87	5.07亿	44.3亿
600242	中昌海运	4.03万	0	2268万	 港口水运	5.57	2.73亿	15.2亿
002080	中材科技	10.8万	990	1.45亿	 玻璃陶瓷	2.24	4.00亿	53.7亿
600970	中材国际	5.22万	5	3923万	 水泥建材	1.69	10.9亿	81.5亿
000759	中百集团	21.2万	377	1.62亿	 商业百货	1.87	6.81亿	53.1亿
000931	中 关 村	5.22万	512	2885万	 房地产	4.97	6.75亿	37.0亿
300097	智云股份	8.29万	696	1.83亿	 机械行业	6.12	1.20亿	26.3亿
002169	智光电气	4.81万	1027	3536万	 输配电气	3.48	2.66亿	19.3亿
300122	智飞生物	4185	18	2068万	 医药行业	8.29	4.00亿	198亿
600517	置信电气	4.42万	0	8973万	 输配电气	7.30	6.91亿	138亿
002197	证通电子	16.1万	2067	3.12亿	 电子信息	4.69	2.61亿	50.3亿
600121	郑州煤电	3.06万	5	1402万	 煤炭采选	1.17	10.2亿	46.6亿
601717	郑煤机	9.74万	832	5570万	 机械行业	0.98	16.2亿	92.1亿
601877	正泰电器	1.47万	12	3925万	 输配电气	5.07	10.1亿	265亿
000702	正虹科技	2.02万	175	921万	 农牧饲渔	2.56	2.67亿	12.1亿
600759	正和股份	26.7万	5	2.78亿	 房地产	5.87	12.2亿	129亿
300224	正海磁材	2.28万	196	4212万	 材料行业	3.16	2.40亿	43.5亿
002157	正邦科技	2.57万	356	1690万	 农牧饲渔	2.78	4.31亿	28.4亿
600320	振华重工	8.35万	0	2879万	 机械行业	1.04	43.9亿	150亿
000733	振华科技	12.0万	1522	1.41亿	 通讯行业	1.93	3.58亿	42.3亿
300158	振东制药	1.83万	379	2951万	 医药行业	2.36	2.88亿	45.4亿
600023	浙能电力	32.4万	0	2.13亿	 电力行业	1.82	91.1亿	600亿
002522	浙江众成	4586	20	618万	 塑胶制品	2.21	2.21亿	29.6亿
000705	浙江震元	4.92万	225	8844万	 医药行业	2.61	1.67亿	30.0亿
002489	浙江永强	4.34万	684	5172万	 木业家具	1.80	4.78亿	56.2亿
600216	浙江医药	12.3万	21	1.33亿	 医药行业	1.56	9.36亿	100亿
002703	浙江世宝	5145	105	1031万	 汽车行业	7.54	2.78亿	55.7亿
002677	浙江美大	4.03万	335	5725万	 家电行业	3.27	2.00亿	28.4亿
600352	浙江龙盛	15.7万	0	2.08亿	 化工行业	2.29	15.3亿	202亿
600052	浙江广厦	1.04万	9	356万	 房地产	1.67	8.72亿	29.6亿
600070	浙江富润	1.98万	0	1628万	 纺织服装	1.82	1.83亿	15.0亿
600113	浙江东日	15.1万	10	1.35亿	 房地产	4.98	3.19亿	28.7亿
600120	浙江东方	5.32万	0	6357万	 国际贸易	1.30	5.05亿	59.7亿
002266	浙富控股	21.1万	4253	1.89亿	 机械行业	5.76	14.3亿	128亿
600797	浙大网新	60.0万	1344	4.45亿	 电子信息	3.35	8.32亿	62.6亿
600633	浙报传媒	3.29万	0	1.17亿	 文化传媒	6.07	5.94亿	209亿
300333	兆日科技	4.45万	297	1.01亿	 电子信息	3.23	1.12亿	25.4亿
002429	兆驰股份	8.79万	1520	1.18亿	 家电行业	4.03	10.7亿	146亿
600999	招商证券	33.3万	40	3.49亿	 券商信托	1.81	46.6亿	481亿
600036	招商银行	57.9万	0	5.60亿	 银行	0.94	252亿	2429亿
601872	招商轮船	4.92万	39	1116万	 港口水运	0.89	47.2亿	107亿
000024	招商地产	13.8万	627	2.14亿	 房地产	0.99	17.2亿	265亿
300315	掌趣科技	10.1万	1142	3.36亿	 电子信息	16.13	7.05亿	236亿
600895	张江高科	4.38万	68	2950万	 房地产	1.57	15.5亿	104亿
000430	张家界	11.3万	1169	8609万	 旅游酒店	5.59	3.21亿	24.3亿
002564	张化机	5.23万	480	7511万	 机械行业	1.91	3.70亿	53.2亿
000869	张  裕Ａ	1.88万	191	4881万	 酿酒行业	2.97	6.85亿	179亿
000753	漳州发展	2.33万	87	953万	 商业百货	2.26	4.11亿	16.7亿
000767	漳泽电力	9.21万	522	2910万	 电力行业	1.58	22.5亿	71.0亿
002378	章源钨业	1.39万	74	2411万	 有色金属	5.25	4.28亿	74.0亿
002637	赞宇科技	2.56万	294	3939万	 化工行业	2.47	1.60亿	24.5亿
600767	运盛实业	15.7万	10	1.41亿	 房地产	8.26	3.41亿	30.6亿
300304	云意电气	1.62万	241	5064万	 汽车行业	3.61	1.00亿	31.5亿
